1,1217,1221,1373,1374,1392,2281,2818,2861,2863,4508,6311,11387,12465,16341,18572,18963,19496,20173,20828,21225,21665,22325,23085,23259,23332,23477,23482,23514,23516,23521,23534,23570,23602,23610,23745,23830,23867,23910,23977,24141,24545,25146,29610,30901,33377,36339,36352,37121,37712,38120,38716,40235,43485,43589,48046,48788,51477,51534,52026,52639,53925,56257,56533,58706,59145,59530,59542,63135,63640,63682,64368,64466,69103,72881,75732,76289,77082,77551,79968,85671,87323,87392,88763,89666,89716,89798,89910,90021,90474,90547,91050,91227,91276,91924,93046,94592,98423,100152,100755,100811,104051,105131,105473,107491,108591,110752,112656,113377,115975,120932,120958,121198,121251,122741,123451,124196,124939,128689,130769,131551,131771,133048,133450,134403,134742,135995,138541,143035,143187,145536,145639,145670,147732,151163,157574,158182,158192,158522,162727,162855,165623,167129,168256,169046,169596,170889,171631,171648,174007,174033,174947,176087,176293,176861,178538,179398,179733,179938,180352,181639,182137,182241,182386,182565,183755,184241,186966,187448,188764,188915,189819,192184,194935,195571,195818,195850,197446,198126,200105,201516,202543,207454,207990,208359,208972,211645,211925,216146,217280,217304,219682,222515,227561,227849,228729,229476,231095,232334,232578,234335,236009,236326,238799,239218,239224,240432,240722,240869,243165,243169,245404,246392,247339,247434,249623,249654,249956,251123,251804,251915,253252,255336,257035,257942,259659,260840,261191,261245,262843,263716,264559,265837,266421,267234,274793,277503,278413,278554,279578,283249,284215,285111,285587,287713,288325,288356,288480,288675,290210,291366,297215,301744,301877,304744,306704,306977,308299,308787,309098,309971,310130,310216,312878,313167,313511,313955,314081,314334,315811,316273,316391,318108,318140,319572,320278,321006,322704,325626,325808,330616,331096,331682,333247,334854,334963,337308,337513,337801,340282,340326,340371,345092,346519,347864,347988,349907,350464,350774,351188,352360,353933,353950,356523,357548,357556,358580,358777,360788,362897,365121,367614,367617,369670,373812,376670,379136,380320,382548,382998,383883,383972,388478,388543,389641,390280,391240,392275,393998,394753,396787,397423,397678,399406,399714,400782,401309,404876,410121,410390,413073,414743,416485,417429,418534,421187,423802,424486,426127,428708,429881,430633,431238,431344,432454,432505,432527,435770,439554,442594,444192,444466,445695,445696,446071,449495,449606,449617,449784,452695,455268,455950,462960,463386,463645,464668,465239,466037,466161,467825,472142,473630,476117,478290,479141,480393,481561,484926,485726,485928,486904,487061,490459,491910,494438,497222,497345,502160,504630,504842,505077,505742,508149,510486,510588,511084,512788,513610,514825,514879,516288,516291,516292,518854,523464,524627,527910,530648,530898,533409,535705,539367,541078,543286,544825,546113,549670,550035,550891,551260,551642,554050,555015,558752,559850,559984,560226,562685,564141,565142,566246,566248,566260,566622,566717,567408,571788,572190,573667,574408,575015,575127,575456,575647,575924,576659,580368,580797,581658,581945,582490,583169,584677,587506,587758,590469,592280,592585,595790,597335,598468,598518,599536,600385,603387,604182,604662,604741,607490,608469,608701,608986,609897,614561,614581,614688,614986,615191,615729,617605,620579,621130,623254,627361,627994,629011,629181,629892,631873,633551,634027,636499,636512,641323,641725,641876,642807,642917,645026,645882,647158,648362,648590,652167,653061,656578,658481,659078,659425,659442,659634,660014,661949,662386,669308,672412,672675,673079,682853,685078,685851,685961,686063,686112,686690,687281,688213,689461,691172,692667,693272,694332,694791,696358,697000,697238,697911,699207,699442,699690,701790,702435,710044,711492,711828,712266,712343,712469,713445,717173,719099,723594,723595,724593,725201,725478,725564,728326,730738,731214,737200,737622,737642,737714,740617,741130,741491,744161,746180,747410,747811,748249,748833,749170,749919,750854,753631,754469,755842,755891,755892,756784,760532,761584,762263,762457,762603,765687,767203,767408,767635,768737,770399,772673,773181,773526,779214,782334,783826,784560,785443,785526,789343,791798,793734,794951,796507,797226,797526,803908,804798,805435,806455,806731,807723,807756,808169,808755,809654,809844,810421,811484,815792,816610,818720,819275,819843,820362,824377,824619,826480,829708,833117,835945,837686,839279,841340,841426,841900,842235,844531,844787,847014,847961,848264,848333,851851,851909,853002,854412,854976,855437,858530,860832,861138,862596,865588,865671,866367,866683,868430,869798,872201,872567,874894,874895,875541,875672,879467,879977,881198,881606,883120,883275,883767,888956,889096,890144,892401,892426,892877,892913,894545,896781,896787,898242,899720,900776,902754,902850,903668,904617,905454,905687,905709,905764,907202,907763,907902,908256,909904,910048,910715,911027,911704,913651,913934,914019,914053,914629,914914,915714,915855,918463,918781,919864,922407,923909,927418,928167,928388,929783,931450,933373,933392,933668,937121,937122,937123,937360,937926,940562,941421,945264,945847,946802,947354,947816,949053,950785,951709,953300,953915,954638,955722,955781,957597,957932,959476,959666,961466,962583,967309,967365,967482,975099,978523,978640,980094,981245,981805,982842,985159,985360,985384,986502,987134,988944,989804,991330,993139,995394,997089,997528,1000202,1002354,1005420,1005830,1006392,1007458,1007957,1007982,1011400,1015578,1016070,1019147,1024222,1024547,1024646,1026616,1026977,1026978,1028063,1028992,1029397,1029404,1030634,1031152,1031515,1032426,1032882,1035363,1035364,1036032,1036188,1036262,1036845,1037705,1038601,1039575,1040550,1041388,1042237,1043136,1043688,1045866,1047778,1050751,1052594,1052597,1052707,1054058,1054200,1054321,1054448,1055180,1057627,1059867,1060264,1060966,1061860,1062345,1062375,1063470,1064770,1065301,1066806,1072630,1072631,1072632,1074596,1075584,1076710,1077266,1077351,1078357,1078554,1079648,1080050,1081296,1084500,1084929,1089430,1090997,1092599,1094718,1095615,1095655,1100412,1103163,1103279,1103608,1105560,1108972,1109374,1111313,1111545,1111753,1111924,1113414,1113419,1115010,1115011,1115012,1115013,1115014,1115015,1115016,1115017,1115018,1115683,1118711
qid:5644,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,3.0,,40.0,,,,,,,0.0,,,,,,0.0,,,,1.0,,,,,0.0,,,,,,,6.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,6.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,0.0,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,3.0,,,,,,0.0,,,,,0.0,0.0,,,,0.0,58.0,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,0.0,6.0,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,3.0,,,,,,,,,0.0,,,,,0.0,0.0,,2.0,,1.0,,,0.0,,253.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,3.0,,,,,,,,0.0,0.0,,0.0,1.0,,,0.0,,,,,,2.0,,,,,,,0.0,,,7.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,1.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,133.0,,,,,0.0,,10.0,,,,,,,,,,32.0,,,,0.0,,,0.0,1.0,0.0,,,,,38.0,,,,,,0.0,,,,,0.0,,,120.0,,,,,0.0,,,,,,0.0,0.0,,,,,,1.0,,0.0,,,,,,0.0,,,,88.0,,,,,,0.0,,,,,0.0,,0.0,,336.0,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0
qid:5647,,0.0,1.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,,1049.0,,0.0,3945.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,5.0,42.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,1.0,0.0,,,,0.0,,,0.0,,,,,0.0,,19.0,6.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,7.0,,0.0,837.0,702.0,1.0,,,,1.0,,,,1.0,,,0.0,,,,9.0,,,,,,,,,,,,,0.0,,,,0.0,26.0,0.0,0.0,,0.0,1.0,,,150.0,,,863.0,,0.0,,0.0,,,0.0,,,,,,,5964.0,,2.0,0.0,0.0,,,0.0,,,,,3526.0,,2.0,3587.0,,0.0,73.0,577.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,1.0,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,25.0,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,,,,,,,,73.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,18.0,,0.0,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,22.0,,,,0.0,2.0,,,0.0,0.0,4997.0,,,0.0,,,7.0,,,,,0.0,,,,,,2.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,,,,,29.0,,,,0.0,0.0,57.0,4.0,0.0,100.0,0.0,,,,0.0,8227.0,,,,,,,0.0,2.0,,,,,,,,0.0,0.0,,,,4.0,0.0,0.0,,,0.0,,0.0,,,,,,,,463.0,0.0,,312.0,,,212.0,,,0.0,,,,,,,,0.0,,,,,,,278.0,,,,1.0,0.0,,,,,,,2.0,0.0,,0.0,89.0,1.0,0.0,0.0,,0.0,24.0,,,,,,,0.0,,,,,,,,,,41.0,,,,,,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,2434.0,,,,0.0,,,0.0,,,3.0,,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,,,57.0,0.0,946.0,0.0,,,0.0,,0.0,,,0.0,,58.0,,,,3.0,,,0.0,,,,,,,,,,,34.0,,,0.0,0.0,1.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,52.0,0.0,242.0,,,0.0,0.0,,8.0,,,,18.0,,,,,,,0.0,0.0,6.0,,,0.0,0.0,,,0.0,0.0,,1.0,,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,19.0,4.0,1765.0,,,,,,,1.0,34554.0,,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,148.0,,361.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,17.0,,0.0,0.0,,,0.0,32.0,,,,,,,,,,,,,29.0,,,0.0,0.0,,,0.0,,,,22.0,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1109.0,,,0.0,0.0,12.0,,4585.0,,,,,77.0,,0.0,3.0,0.0,,,,,,,,0.0,,,,0.0,0.0,24.0,,,,,,0.0,,,0.0,,,,,,9.0,,,,,,,0.0,0.0,0.0,,0.0,,,165.0,0.0,,1.0,6.0,,,,7.0,,,0.0,,,,,1.0,,,0.0,4.0,,,,10.0,,0.0,693.0,,0.0,,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,4.0,13.0,,,0.0,0.0,,1.0,,,,,,,,49.0,,,5.0,2.0,0.0,1.0,,,,,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qid:565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,353.0,,,0.0,,,,,0.0,,0.0,,,2.0,0.0,,,,,31.0,0.0,0.0,18.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,3.0,0.0,,,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,514.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,95.0,,,,,,,,,,,1.0,0.0,,,,4.0,0.0,,,0.0,,,,,,,,,,,,,0.0,,,1.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,51.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,6.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,6.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,5.0,,,,,,,,,0.0,,,,1731553.0,,,,,,,,,,0.0,12.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,242.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,4.0,,,,,,0.0,,,1.0,,,,,,,,,,0.0,,,,,,,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,45.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
qid:5662,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,23.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,58.0,,,,,,,,,,,,,,121.0,,0.0,,,0.0,,0.0,,,,,,287.0,,,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,3.0,,,,0.0,,,,,,,,,,,,,,,0.0,30.0,,14.0,,,0.0,,,,0.0,,,21.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,26.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,20.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,5.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,0.0,0.0,,,,,,0.0,,1.0,2.0,,3320.0,,,4.0,0.0,,,,,,,,,,,4.0,0.0,,,,2.0,,,,,,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,3.0,,,0.0,,0.0,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,4.0,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,6.0,,,0.0,4.0,,,,,0.0,,,,,0.0,0.0,,,,,0.0,51.0,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,13977.0,,,,,,,,,,,0.0,,106.0,0.0,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,1.0,,,,1.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,96.0,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,1.0,,,,0.0,0.0,,,,0.0,,,,,,,,,6.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,2669.0,,,,,,,,1.0,,0.0,38.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,14.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,13.0,0.0,,,,,,0.0,1.0,168.0,,2.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,2.0,,,,,,,,,0.0,,,5.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,6.0,1.0,3.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,486.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,26.0,,,,,,0.0,,,,0.0,3.0,0.0,,,,0.0,,,79.0,,,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
qid:5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,9.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,0.0,3.0,,,,,,,0.0,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,3.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,576694.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,478195.0,,,0.0,,0.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,16.0,0.0,,,,,,,78603.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,1.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
