1,1934,5275,20160,24056,27173,30481,30482,31293,32183,32243,33228,34038,35414,36421,37221,40688,43449,43740,45188,47325,47582,49453,56959,58469,59301,64280,64575,67782,67917,68553,70418,72398,76723,78826,80934,81828,83420,83450,84406,86495,91329,92299,94634,98621,100219,101151,102462,104824,107230,108119,109462,109543,113821,116025,116406,117387,117995,121132,121640,126232,127927,128405,133023,134456,138318,139240,142587,149078,149145,149166,150002,151703,151840,152212,154353,160936,164343,164417,165864,167357,167632,168015,169481,169754,170030,170266,170764,171557,173218,174481,175078,175328,177345,177473,177479,177863,178140,182203,182387,182528,184201,184396,184880,185032,185172,185488,185584,185928,187709,189272,190201,192946,194937,195358,195359,195360,195361,195608,195701,195831,197493,202282,202332,202375,204100,207074,209353,211091,212804,212911,213962,215503,215506,216080,218960,222723,222848,225195,230539,231941,232914,233069,235996,236852,242079,243572,245036,245952,246174,247227,248669,252298,252997,253733,255268,255376,257273,257475,257481,258529,259359,259360,265891,265920,265921,268043,269700,271978,275265,275916,279255,280636,280794,283863,284904,289420,291327,291681,291773,292822,292950,295210,295631,296048,297268,297309,300696,302575,305554,308725,308962,308999,310084,312888,315260,316243,316664,317766,318761,320686,325278,328122,330442,330946,331572,333731,334282,344015,346008,347229,355580,360125,361494,365117,365334,365918,366137,366336,366471,367341,371212,372089,372096,372828,373929,375105,378151,381546,381569,381888,383806,386439,386871,388652,390488,392673,394796,396956,398069,402584,402790,403919,404775,409591,413248,415752,416526,417270,417411,418496,419919,423050,424322,424581,426199,430355,431950,431959,433562,436964,437046,437433,439529,442700,443097,443099,446503,447470,448411,448677,450170,452767,456055,462395,464869,465990,472104,474401,477617,478701,480014,480517,480594,483540,483951,485712,485713,486673,486976,489326,490874,496754,497831,498348,501136,503711,504426,505160,505811,506614,507847,509801,510847,515071,515793,517254,517349,520105,526365,528180,529229,530259,530260,530261,530262,531867,532582,534944,535602,536306,537320,537321,538403,539589,542863,545053,545165,546413,547977,549405,549813,550078,550491,551567,552028,552482,553274,557211,558828,558996,559047,559207,559819,559917,560195,561837,563627,563924,564974,565246,566197,566375,571378,571410,571727,572136,572361,573826,573827,574092,574299,574369,574485,574933,574944,576859,580128,580165,580511,580554,585603,585604,586496,589016,589869,591018,592977,595543,596681,597807,597829,598168,608283,608344,608616,613295,616835,617284,618470,618511,620996,624093,624457,624917,625627,626981,629180,639038,642121,643495,645520,645870,646828,647804,647944,654698,658637,658904,659260,660091,666000,668357,669095,669814,673570,673787,674469,676736,677580,677957,678281,679972,681832,683359,683459,684626,685197,686468,687216,688811,688846,692852,694880,697480,697827,698380,699786,699889,701552,703979,704844,705030,707192,708704,710210,714296,717904,718626,721693,721796,722197,723550,725427,725844,726890,727190,727791,728350,728685,731399,731972,732443,733738,734347,734609,739294,739827,742668,743552,744298,745988,746889,748849,753503,755065,755252,755683,758248,758494,759613,761028,763155,764286,767037,767267,768380,768635,769261,769628,769715,775205,776421,779725,779812,781858,784661,786376,788387,793734,795393,796020,805317,806658,811102,816402,816885,817294,818054,818461,819476,821101,823069,823184,824167,824511,824701,830243,831176,832408,833658,836202,836430,838992,841326,842040,842516,842721,843802,843905,845043,845206,845786,847190,848369,849077,849090,851841,851877,852364,853551,853817,860123,860262,860846,861545,863016,863352,863765,867517,867908,868050,868338,872843,873407,873877,875119,878905,879993,883395,883396,884233,886634,887392,888438,892458,896545,897042,901279,902463,902972,902975,902976,903589,903630,903854,904825,905724,906425,907029,907412,908935,910648,910849,915492,919069,919527,920787,923865,925841,927798,929223,929827,930567,930748,931879,932343,932582,936335,937351,938123,938603,938872,938885,938914,941699,942035,942104,944901,945459,946013,948435,950483,950606,951872,951884,952016,953394,955663,956289,956295,962325,962981,963394,963397,966243,966259,966618,966646,968421,969354,970823,970923,970989,974181,975148,975578,983201,983339,984174,984205,986247,987161,987913,988964,992236,994162,994907,995241,997983,998844,999990,1000067,1000518,1002151,1003274,1004817,1006677,1007277,1009749,1009845,1009846,1011007,1013951,1017266,1017989,1019020,1019202,1022128,1023174,1025326,1029435,1030005,1031974,1033940,1037204,1037263,1038223,1038290,1041269,1042770,1043006,1044041,1044789,1045738,1046713,1047824,1050361,1054570,1057079,1057118,1058404,1058729,1059896,1060343,1061512,1063377,1065003,1065179,1065650,1066259,1066487,1066757,1067345,1068265,1068897,1070555,1071032,1073435,1073822,1078212,1082213,1082723,1083192,1083918,1085397,1085691,1086521,1086955,1090008,1090478,1091247,1091863,1096018,1097763,1097766,1097826,1098112,1098114,1098668,1100816,1101245,1105914,1111265,1112331,1115973,1116051,1118542
qid:6658,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,6.0,,,,,,,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,1.0,,,,,0.0,,,0.0,,0.0,2.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,1.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
qid:6664,,141.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,353.0,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,8.0,,,,,,,,0.0,,,,29.0,2.0,,0.0,,,,,,,9.0,,,0.0,,0.0,,,,,,,,,,,,34.0,,,,,,,,,,,,39.0,,0.0,,6.0,,,,11.0,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,60.0,,0.0,1.0,29.0,,17.0,,,,,1.0,79.0,,,,,,0.0,,,,,,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,391.0,1644.0,,0.0,,,,0.0,,,,0.0,,,,1.0,,,,,0.0,0.0,,,0.0,9.0,,0.0,0.0,0.0,,,,,,,,,2.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,311.0,,,,,,,,29.0,,,,,0.0,,,2.0,71.0,5.0,,0.0,0.0,,0.0,40.0,,,,,,0.0,7.0,8.0,,,0.0,29.0,0.0,,4.0,,,,,0.0,,245.0,4613.0,,,39.0,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,,,6.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,34.0,,,,0.0,1.0,0.0,,,,0.0,,4.0,,,,,,,0.0,,,,,,1.0,,0.0,,0.0,,,0.0,96.0,0.0,344.0,,69.0,,,,,,,,,,,,,,,0.0,,0.0,1287.0,,0.0,14.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,23.0,,,,,196.0,,,,0.0,,,,,,,,,,1535.0,,,,,,19.0,,,13.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,,0.0,1.0,,0.0,,,,,,,478195.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,1.0,,,,,,,,,,,,,37.0,,,,0.0,,,165.0,,,,,,21.0,,,,0.0,,2534.0,,,,,,,15.0,0.0,,848.0,13.0,20.0,1.0,,,,,1.0,,,2.0,0.0,,,,0.0,,,,,,,3957.0,,0.0,0.0,1.0,0.0,,7.0,,40.0,0.0,1174.0,,12.0,,,,,,,,,,,,,,,,251.0,110.0,,0.0,,,,,,27.0,,,,0.0,228.0,0.0,7.0,329.0,,,,,,160.0,,15.0,,1.0,,,,,5.0,,,,,0.0,,,,19398.0,,,,0.0,,,,0.0,,,0.0,,,0.0,7.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,0.0,2.0,16.0,144.0,,,,,,,,,,,,,0.0,,0.0,15370.0,
qid:6667,,,,,,0.0,,,,0.0,,,,0.0,,,,,,3.0,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,0.0,,,,,0.0,20.0,2.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,,,,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,19585.0,,,,0.0,,0.0,,,0.0,,,67.0,170.0,,,,,,,,,,,,,,,,218.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,,16.0,0.0,7.0,,1.0,0.0,,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,1701.0,1.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,18.0,,,,,,,,1.0,,,,,,,64.0,,,0.0,,1.0,0.0,1.0,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,315.0,0.0,,,0.0,0.0,0.0,0.0,262131.0,0.0,,0.0,,,,31.0,,,,,,,,,,,,15.0,,,849.0,,,,,,,,,1.0,,,,,,,,,,,46.0,361.0,,,0.0,,0.0,34273.0,,,,0.0,,,,11.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,,9.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,2.0,,0.0,0.0,,,,,,,,,,,,25084.0,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,1154.0,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,12.0,,,,0.0,,,0.0,,,,,,,0.0
qid:6670,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,0.0,,,,,,,,,,,,0.0,7.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,1785.0,0.0,,,,,,,,,,0.0,27452.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,25.0,,337.0,,,,,,,0.0,,0.0,,,,,,,3.0,,,,,,0.0,,,1.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,18.0,0.0,,,,0.0,,,,,0.0,,4.0,2.0,2.0,,18.0,0.0,0.0,,0.0,,,,,,,,,,12.0,302.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,21.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,3.0,,,478195.0,,,,10.0,,,,4.0,,8.0,,,0.0,1.0,,,5.0,,,,,,3.0,2.0,,,,5.0,39.0,34.0,,,,,,,,,,8.0,8.0,,3.0,4.0,,8.0,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,8.0,,,,0.0,,0.0,,0.0,,,0.0,,,,,78.0,,,,,,8.0,,,0.0,,,,,,14.0,,,,,,,,,,,,499.0,,,,,,,,669.0,,,,,,,0.0,5.0,,,,,,,,,,28.0,3.0,,76.0,,,,,,,,,,,,,,,0.0,,22.0,,,17.0,,,,5.0,0.0,,,0.0,,,0.0,2.0,,0.0,,,,0.0,1.0,0.0,,,,1.0,,,21.0,,,,,,,6.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,0.0,,,
qid:6673,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,,2.0,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,3.0,,0.0,,,,,,2.0,,,,,1.0,,,,,4.0,,0.0,,0.0,,,,0.0,,,,,,,,9.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,3.0,,,,,0.0,0.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,17.0,1.0,,0.0,,,,,0.0,0.0,,22.0,,0.0,,,,,0.0,,,,0.0,0.0,,0.0,,,1.0,,0.0,6.0,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,2.0,18.0,,0.0,,,,,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,2.0,,,5625.0,,,,,,1.0,1.0,42.0,2.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,2.0,0.0,1.0,,0.0,,1.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,2.0,2.0,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,0.0,,,,,,0.0,1.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,
